Time,UUID,RSSI
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-74
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-79
20231101 11:15:28,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-80
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-63
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:15:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-84
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-68
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-54
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-75
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76
20231101 11:15:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-63
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-74
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-78
20231101 11:15:48,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-81
20231101 11:15:53,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-52
