Timestamp,linacce_x,linacce_y,linacce_z,gyro_x,gyro_y,gyro_z,X-magnetometer,Y-magnetometer,Z-magnetometer,Yaw, worldXAccel,worldYAccel,worldZAccel,worldXgyro,worldYgyro,worldZgyro,Distance
20240115 08:25:23,-1.784332,-0.707221,3.460563,-0.046486,-0.84741,-0.078217,-35.668522,-31.807072,-2.054497,128.27261,1.4753838,-1.7916275,0.3001883,0.10159364,-0.8012791,0.5042866,0.006
20240115 08:25:23,-0.896743,-0.820284,2.337282,0.188956,-0.722764,0.000619,-35.771336,-31.639027,-0.99472,124.27878,1.4523054,-1.3096197,0.345919,0.23470548,-0.68325156,0.20035508,0.006
20240115 08:25:23,-0.092523,-1.074077,1.489994,0.381784,-0.518217,0.025122,-36.27409,-31.961552,-0.844696,118.54054,1.2755125,-1.1922963,0.20430624,0.27118278,-0.49803475,-0.07661668,0.006
20240115 08:25:23,0.559207,-1.241066,0.779781,0.504299,-0.298755,-0.003642,-36.334652,-31.876598,-0.448929,111.66688,0.9173233,-1.2266595,-0.05321887,0.23936994,-0.3073428,-0.29804096,0.006
20240115 08:25:23,1.070541,-1.382426,0.44291,0.543717,-0.138953,-0.069694,-36.406368,-32.636753,-0.400024,108.381096,0.76981777,-1.3891693,-0.359012,0.19211458,-0.17554976,-0.39863765,0.006
20240115 08:25:23,1.258422,-1.5305,0.293836,0.511757,-0.067575,-0.173033,-35.821789,-32.03474,0.236351,107.97489,0.68659854,-1.5624884,-0.44791353,0.08769722,-0.118394494,-0.3923089,0.006
20240115 08:25:23,1.19671,-1.491431,0.344672,0.427594,-0.076097,-0.276371,-35.875965,-32.412968,-0.007439,110.35545,0.78292096,-1.5061306,-0.44361418,-0.04341881,-0.10632877,-0.29626203,0.006
20240115 08:25:23,0.834944,-1.347763,0.468511,0.332778,-0.129365,-0.344554,-35.813473,-33.457348,0.999146,116.85984,0.855806,-1.3472086,-0.25754213,-0.13825688,-0.11187067,-0.16200425,0.006
20240115 08:25:23,0.414766,-1.157253,0.5949,0.252877,-0.199678,-0.356272,-36.297916,-33.781712,1.417412,120.9166,0.8451058,-1.1888258,-0.03453295,-0.16676058,-0.14323196,-0.05202757,0.006
20240115 08:25:23,0.112608,-0.95006,0.704168,0.197479,-0.2359,-0.31792,-35.742405,-34.214832,1.719162,123.28721,0.79856986,-1.0287498,0.09678915,-0.14705631,-0.17234805,0.0050375983,0.006
20240115 08:25:23,0.081096,-0.926011,0.691658,0.176172,-0.215658,-0.259326,-36.094944,-33.672085,1.412277,122.36092,0.7749898,-1.0079906,0.12304169,-0.11069924,-0.1609327,-0.003743507,0.006
20240115 08:25:23,0.067167,-0.82773,0.634942,0.177237,-0.124038,-0.194339,-35.928982,-33.366863,0.590179,121.60118,0.7120465,-0.90775573,0.11492008,-0.0668887,-0.07746975,-0.059491865,0.006
20240115 08:25:23,0.120286,-0.759168,0.771085,0.19961,-0.000458,-0.119765,-35.576839,-33.717724,0.616585,121.032745,0.82239044,-0.839553,0.015629217,-0.008363269,0.028114714,-0.14543955,0.006
20240115 08:25:23,0.278712,-0.747192,0.96746,0.217721,0.105012,-0.064367,-35.67403,-33.629093,0.475868,119.67348,1.0452188,-0.81869376,-0.15995531,0.040757004,0.12181486,-0.21896693,0.006
20240115 08:25:23,0.421405,-0.812678,1.079436,0.216655,0.168933,-0.033472,-35.831791,-33.455502,0.730904,119.314896,1.20439,-0.8734287,-0.27598116,0.0659617,0.18030606,-0.25306848,0.006
20240115 08:25:23,0.462949,-0.827664,1.183784,0.192152,0.191305,-0.021753,-35.515118,-34.37833,1.062233,121.02413,1.3153483,-0.89574164,-0.3479093,0.064180955,0.20115721,-0.24314858,0.006
20240115 08:25:23,0.365186,-0.863177,1.390694,0.152734,0.169998,-0.018557,-35.831402,-33.647388,1.011375,122.1671,1.456805,-0.978876,-0.31587148,0.04670232,0.18053907,-0.20036198,0.006
20240115 08:25:23,0.158777,-0.906572,1.535442,0.11012,0.110338,-0.012165,-35.41869,-34.083195,0.642014,124.13746,1.4855539,-1.088275,-0.19371393,0.03420728,0.12002679,-0.1382816,0.006
20240115 08:25:23,-0.069628,-0.919794,1.623007,0.072833,0.034699,0.010207,-35.646755,-33.535915,0.737991,125.78033,1.4556305,-1.190225,-0.051616162,0.041891184,0.040367063,-0.079686634,0.006
20240115 08:25:23,-0.302678,-0.903461,1.575286,0.06218,-0.030288,0.060279,-35.610126,-33.539616,1.27449,127.842384,1.3140221,-1.2465951,0.11938995,0.08900829,-0.03367719,-0.059462,0.006
20240115 08:25:23,-0.504097,-0.856398,1.452614,0.066441,-0.057987,0.134853,-36.209293,-34.157261,1.844727,129.25813,1.1202487,-1.237041,0.29286015,0.15874663,-0.07765819,-0.077775955,0.006
20240115 08:25:23,-0.56497,-0.827032,1.311267,0.077095,-0.070771,0.226473,-36.033222,-34.332684,1.857925,128.75595,0.9794271,-1.1741018,0.39301854,0.24289528,-0.109288886,-0.11072785,0.006
20240115 08:25:23,-0.354708,-0.915965,1.147099,0.076029,-0.085686,0.310636,-35.890438,-34.330006,2.529022,127.03967,0.9607786,-1.1458913,0.32690364,0.31644872,-0.13317758,-0.1253688,0.006
20240115 08:25:23,0.010017,-1.040957,0.982954,0.06431,-0.101666,0.359642,-36.471676,-34.757618,3.087044,123.427666,0.9730795,-1.1413413,0.15017238,0.35438013,-0.13691735,-0.11122537,0.006
20240115 08:25:23,0.422345,-1.122169,0.784134,0.037677,-0.105927,0.367099,-36.1824,-33.872196,1.826385,117.45287,0.9264307,-1.1394544,-0.073357955,0.34469798,-0.117066376,-0.06870318,0.006
20240115 08:25:23,0.709326,-1.187733,0.640724,0.003586,-0.095274,0.343661,-35.804508,-33.362324,0.993034,113.736115,0.87748283,-1.1833203,-0.24539955,0.30483082,-0.08992166,-0.026817959,0.006
20240115 08:25:23,0.797885,-1.265843,0.566185,-0.02944,-0.085686,0.308505,-36.510227,-33.794476,1.148193,113.2557,0.83576417,-1.2609402,-0.2686078,0.25668088,-0.07627817,0.0059894286,0.006
20240115 08:25:23,0.798934,-1.296863,0.60625,-0.04542,-0.088882,0.271218,-36.880306,-33.633648,1.134018,113.186676,0.8738552,-1.2910308,-0.25473514,0.21504018,-0.08033796,0.028217696,0.006
20240115 08:25:23,0.784034,-1.288958,0.688445,-0.041159,-0.091012,0.234996,-36.286755,-32.936611,1.764275,113.82347,0.93411446,-1.2787956,-0.25720364,0.18329152,-0.081931,0.030558664,0.006
20240115 08:25:23,0.789252,-1.271538,0.7714,-0.011329,-0.092078,0.196643,-36.896053,-33.073612,1.499214,113.578514,1.0192614,-1.2613868,-0.28294474,0.16458623,-0.08637836,0.012690868,0.006
20240115 08:25:23,0.709536,-1.159514,0.673214,0.027023,-0.079294,0.163618,-37.326313,-33.019733,2.16127,113.87863,0.90299714,-1.1532896,-0.2614058,0.155791,-0.07631912,-0.020998606,0.006
20240115 08:25:23,0.698087,-0.993798,0.648047,0.061114,-0.05266,0.131657,-36.876583,-33.651127,2.608871,114.43638,0.8702307,-0.98606974,-0.32932848,0.14364628,-0.05009677,-0.057323795,0.006
20240115 08:25:23,0.723843,-0.858358,0.583414,0.095206,-0.028157,0.100762,-37.131542,-33.388905,2.723198,112.84239,0.8094303,-0.8493296,-0.40528184,0.13110757,-0.026174914,-0.091421045,0.006
20240115 08:25:23,0.707964,-0.692999,0.38554,0.113316,0.017653,0.071998,-37.009258,-34.134449,2.773079,112.14664,0.61475706,-0.68969655,-0.4406362,0.11292194,0.0184698,-0.121172056,0.006
20240115 08:25:23,0.670198,-0.442299,0.270889,0.10799,0.071986,0.046429,-37.422733,-33.314877,2.58149,110.87864,0.49827117,-0.44248718,-0.4928155,0.087102935,0.07196345,-0.13217302,0.006
20240115 08:25:23,0.607992,-0.318413,0.155871,0.084552,0.127384,0.027253,-37.556942,-33.030651,1.62381,110.7513,0.37846375,-0.31850037,-0.4670073,0.057927325,0.12737669,-0.12775335,0.006
20240115 08:25:23,0.513654,-0.208174,0.244719,0.058984,0.17639,0.016599,-37.090054,-33.088223,1.498238,112.461784,0.43278873,-0.20862864,-0.4324476,0.03465589,0.17653574,-0.12125069,0.006
20240115 08:25:23,0.390783,-0.180984,0.374356,0.039807,0.199828,0.012338,-37.326694,-32.827854,1.880798,114.57066,0.509771,-0.19091175,-0.35325727,0.017266225,0.19979186,-0.11246937,0.006
20240115 08:25:23,0.257177,-0.191491,0.562073,0.034481,0.199828,0.014469,-37.387646,-32.551014,1.996094,116.47151,0.6310247,-0.22490473,-0.26649764,0.012231969,0.1992278,-0.10968128,0.006
20240115 08:25:23,0.132859,-0.211543,0.706119,0.047265,0.161475,0.019795,-37.053425,-33.091923,2.034721,118.02317,0.710253,-0.2691466,-0.1824761,0.023432117,0.160905,-0.10823717,0.006
20240115 08:25:23,0.107088,-0.24402,0.68829,0.056853,0.095424,0.024057,-36.859806,-32.885426,1.755234,117.75787,0.6891094,-0.30571234,-0.14136332,0.03633348,0.09510771,-0.092066556,0.006
20240115 08:25:23,0.12885,-0.271872,0.524969,0.067506,0.027241,0.028318,-37.247433,-33.106525,2.033745,116.870285,0.5551354,-0.31400356,-0.115785085,0.050475426,0.02723426,-0.07673568,0.006
20240115 08:25:23,0.190911,-0.159068,0.240902,0.074964,-0.015373,0.033645,-37.158436,-33.673962,2.741531,116.25806,0.30693078,-0.17222165,-0.16393141,0.060200274,-0.015621728,-0.07002907,0.006
20240115 08:25:23,0.339361,-0.1137,-0.135574,0.06431,-0.032418,0.040037,-37.079166,-33.952648,2.894478,112.424446,-0.010464676,-0.1056519,-0.2672353,0.06025438,-0.03293585,-0.055674233,0.006
20240115 08:25:23,0.503706,-0.094137,-0.421667,0.038742,-0.023895,0.03258,-37.061237,-33.762615,2.882256,108.395355,-0.24624875,-0.10823383,-0.40956575,0.04242706,-0.02340835,-0.03296677,0.006
20240115 08:25:23,0.733639,-0.104606,-0.657196,0.00039,0.007,0.008077,-37.467945,-33.598087,2.331589,102.72229,-0.41856796,-0.19024867,-0.6282535,0.008474875,0.0077392124,-0.0029100191,0.006
20240115 08:25:23,0.895094,-0.111182,-0.699309,-0.036898,0.061332,-0.029211,-37.026531,-32.806866,2.016388,101.02376,-0.40544918,-0.23175624,-0.7804265,-0.03113987,0.05864086,0.018739898,0.006
20240115 08:25:23,0.961326,-0.188086,-0.634083,-0.060335,0.111404,-0.076086,-37.247044,-33.29842,2.314224,102.37619,-0.31392172,-0.30415887,-0.8100014,-0.07699156,0.10358583,0.027823856,0.006
20240115 08:25:23,0.885105,-0.266254,-0.41991,-0.068858,0.141234,-0.122961,-37.141277,-33.100147,2.168358,106.746635,-0.10609403,-0.30930728,-0.7027251,-0.13059956,0.1352173,0.030492669,0.006
20240115 08:25:23,0.649001,-0.295993,-0.127642,-0.05927,0.131645,-0.157052,-37.57449,-33.412579,1.916504,111.69151,0.12800916,-0.28806272,-0.4833795,-0.1704758,0.13432586,0.031229578,0.006
