Time,UUID,RSSI
20220321 01:25:00,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-47
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-70
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:25:01,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-45
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:25:04,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-45
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:05,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-41
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-68
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-68
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:08,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86
20220321 01:25:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-41
20220321 01:25:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 01:25:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66
20220321 01:25:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-67
20220321 01:25:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86
20220321 01:25:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-41
20220321 01:25:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 01:25:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66
20220321 01:25:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20220321 01:25:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:16,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-91
20220321 01:25:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-45
20220321 01:25:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 01:25:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66
20220321 01:25:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20220321 01:25:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-91
20220321 01:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 01:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-66
20220321 01:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20220321 01:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:20,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86
20220321 01:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-65
20220321 01:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20220321 01:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75
20220321 01:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:21,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-86
20220321 01:25:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-43
20220321 01:25:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-71
20220321 01:25:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74
20220321 01:25:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-77
20220321 01:25:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 01:25:25,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-85
